Domestic,TripReason,Vehicle,LogPrice,LogLeadTime,TimeOfDay,From_Rate,To_Rate,Route_Rate,User_Rate
1,0,2,16.425065512317385,2.9460140642136854,1,0.14293223542897673,0.07604003570813818,0.08072539894601541,0.13773065167352175
1,1,1,14.144454528164696,0.6464835220030818,2,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.11477554306126812
1,0,0,14.978661367769956,1.1086324702475312,1,0.1315742705974605,0.14971349215343616,0.14184604008264418,0.13773065167352175
1,1,0,14.077874822431765,0.5077047867940786,0,0.14293223542897673,0.12353936329446687,0.13828956509965218,0.13773065167352175
1,1,1,15.676485096213803,0.8180212703041886,2,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.13773065167352175
1,1,0,13.955272500339433,0.9875350047083563,1,0.1525049771912365,0.06704666131197205,0.12520968333956523,0.0983790369096584
1,0,1,14.377979414882104,2.948709920018098,1,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.13773065167352175
1,1,1,11.156250521031495,0.9923477164976363,0,0.14293223542897673,0.07390897739013437,0.04889795960855088,0.11477554306126812
1,0,1,15.282693422817504,3.3664771320776024,1,0.1655284390896924,0.13516894667994767,0.14039946050870444,0.11477554306126812
1,1,1,15.702580206996654,1.7791335691741765,1,0.15529145716199388,0.14974230015187923,0.1556598678111296,0.13773065167352175
1,1,0,14.253765488895429,1.7293031614948073,1,0.1065704742436525,0.19182043444901448,0.19182043444901448,0.13773065167352175
1,1,1,13.732128949025222,2.7644130142851866,1,0.16337848314471837,0.14974230015187923,0.16179485642791133,0.13773065167352175
1,1,2,15.994005265727269,2.1266593959577724,1,0.14293223542897673,0.12888111760123594,0.15400294260525949,0.21108165729595108
1,1,1,14.255699102130825,1.0596237460920181,1,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.13773065167352175
1,1,0,13.972514306773938,1.603462246430481,0,0.16994524211199444,0.14858478753803459,0.10594665513347826,0.0983790369096584
1,0,2,16.137015535810832,3.25582148632989,0,0.14288943820223704,0.14963380452892425,0.16476449159735715,0.13773065167352175
0,0,2,17.345540811469398,0.8900414835863243,0,0.14293223542897673,0.0958091755420158,0.07612706985626465,0.11477554306126812
1,1,2,15.994005265727269,2.567895085765679,1,0.14293223542897673,0.12888111760123594,0.15400294260525949,0.11477554306126812
1,1,0,14.108180171927094,1.4595031859822511,3,0.1285393302924119,0.13516894667994767,0.14801501743373813,0.11477554306126812
1,0,0,14.346138809026444,1.1896139577314482,1,0.14293223542897673,0.08731658217373105,0.09880560614395881,0.11477554306126812
1,0,1,14.27040054939996,2.129800635370175,1,0.13736372910091893,0.14969931713017282,0.14817130723450825,0.21108165729595108
1,0,2,13.9108207377686,1.9607113779517307,1,0.1065704742436525,0.14971349215343616,0.10585613774927385,0.13773065167352175
1,1,1,11.156250521031495,2.337937568037207,1,0.14293223542897673,0.07390897739013437,0.04889795960855088,0.03443266291838044
1,1,2,15.873089852786975,0.45764460576638805,1,0.1525049771912365,0.14974230015187923,0.1866624014516789,0.13773065167352175
1,1,2,16.13347675299662,0.34153049511633476,3,0.13794886660823313,0.14974230015187923,0.14984075631631125,0.13773065167352175
1,1,1,12.537173338349476,1.380629756642678,2,0.211209835276412,0.14971349215343616,0.13382821008070778,0.11477554306126812
1,1,1,13.962636622854568,1.6759913727038072,2,0.1525049771912365,0.14974230015187923,0.1866624014516789,0.13773065167352175
1,1,0,14.414347059052979,0.21094169759205889,2,0.1655284390896924,0.1455289760138955,0.1938760869265582,0.13773065167352175
1,0,0,13.579788224443204,1.309309641578431,1,0.14293223542897673,0.15691129098709405,0.11949570037189372,0.13773065167352175
1,1,0,14.48333993053993,1.5971240201290917,1,0.08939554841596273,0.12888111760123594,0.17879109683192546,0.13773065167352175
1,1,1,14.255699102130825,1.3881275178239227,1,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.13773065167352175
1,0,0,14.71159858252091,2.4082062757169274,2,0.16544028676247094,0.14969931713017282,0.18531180894007684,0.13773065167352175
1,1,1,13.630385073837585,3.074115285784436,1,0.18555177354230282,0.14971349215343616,0.19598750480603994,0.13773065167352175
1,1,1,14.060024135014677,2.0994285811535973,2,0.1525049771912365,0.14974230015187923,0.1866624014516789,0.1125768838911739
1,1,0,13.514405465180353,2.635852978277164,1,0.16994524211199444,0.14974230015187923,0.20520422781703748,0.21108165729595108
1,1,1,15.092129552275065,1.199649653516841,2,0.1358253086736072,0.14969931713017282,0.14325043791733466,0.2444230234879644
1,1,1,11.156250521031495,2.078365876553927,3,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.02869388576531703
1,0,1,15.1299060435403,3.1137793602511796,3,0.1655284390896924,0.14858478753803459,0.18022887433579887,0.11477554306126812
1,0,1,11.156250521031495,2.130520938988755,2,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.11477554306126812
1,0,1,14.297936707208567,1.922428385143627,1,0.14293223542897673,0.16294868232530962,0.17232473407712076,0.13773065167352175
1,1,1,11.156250521031495,1.5244023272312373,3,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.16886532583676087
1,1,1,13.36138027787483,2.3062627007693486,1,0.14293223542897673,0.1577597428068116,0.15505982431004128,0.08608165729595109
1,0,1,13.709594332372724,0.5127520794580627,0,0.14293223542897673,0.15039171235918528,0.22511345989835416,0.11477554306126812
1,0,0,14.603967918328545,0.6421565937631347,2,0.0994546956299343,0.13516894667994767,0.11448496666899041,0.11477554306126812
1,1,0,14.375126345899696,0.2095369274162542,1,0.1065704742436525,0.10210486505939047,0.10429480648528985,0.05297332756673913
1,1,0,13.9108207377686,0.9676597988538531,3,0.1315742705974605,0.13393826267535805,0.15325556795787376,0.11477554306126812
1,0,1,14.936699400811289,1.4805765953659684,2,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.28144220972793477
1,1,0,13.16158409055761,1.627364409529201,2,0.1315742705974605,0.11713592611909708,0.0794230610369624,0.13773065167352175
1,0,2,16.04434146236966,1.1000669669930863,1,0.1065704742436525,0.14974230015187923,0.12372785206521168,0.13773065167352175
1,1,1,14.464967049899487,1.676320219047565,2,0.14293223542897673,0.12888111760123594,0.15400294260525949,0.13773065167352175
1,1,0,12.765688433465597,0.08467959027077455,1,0.13627394034700333,0.08115383927915332,0.10268013719442562,0.0983790369096584
1,1,2,15.994005265727269,2.217319883747579,2,0.14293223542897673,0.12888111760123594,0.15400294260525949,0.13773065167352175
1,1,0,13.795307850646754,1.3382048715595514,1,0.1315742705974605,0.1294689391867596,0.10211399160659089,0.13773065167352175
1,0,1,14.378833750688019,1.0362585684144108,2,0.08777171986274464,0.14969931713017282,0.1455296150284462,0.13773065167352175
1,0,1,15.150511624696614,0.5128346667868804,1,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.24123617976680123
1,0,0,14.01436141670944,0.84328337959958,1,0.14293223542897673,0.10894537150758765,0.11744108231572314,0.13773065167352175
